investor_type,mean_80,mean_90,mean_100,delta_80_90,delta_90_100,abs_delta_80_100,stabilized_from_n_(<0.01)
neutral_investor,0.6882601771824562,0.6893897619589205,0.6912598851700594,0.0011295847764642986,0.0018701232111388855,0.002999707987603184,50
value_investor,0.29789385873055074,0.2979694468692844,0.2927570015678936,7.5588138733651e-05,-0.005212445301390811,0.00513685716265716,80
growth_investor,0.4582328010665819,0.4539258742181684,0.45394608449631896,-0.004306926848413495,2.021027815057863e-05,0.004286716570262916,80
momentum_investor,0.7042714826579664,0.7028747799971873,0.7050591332588813,-0.00139670266077907,0.002184353261693972,0.000787650600914902,80
speculative_trader,0.6429962586231761,0.6359858040509361,0.6292131644527161,-0.0070104545722400324,-0.006772639598219943,0.013783094170459975,90
index_mimicker,0.7161061483442483,0.7116512417989936,0.7085864471504304,-0.004454906545254711,-0.0030647946485632405,0.0075197011938179514,80
thematic_investor,0.4350456932049062,0.43029144209257436,0.42963444245792753,-0.004754251112331853,-0.0006569996346468265,0.00541125074697868,80
sentiment_driven_investor,0.46826532024952977,0.47941278299181256,0.48139824042056256,0.011147462742282788,0.0019854574287500037,0.013132920171032791,50
non_financial_background_investor,0.6898221786320686,0.6921190018689386,0.6967167544937017,0.0022968232368699715,0.004597752624763141,0.006894575861633112,60
low_risk_aversion_investor,0.6765951836478251,0.6690613532357715,0.6658372995710397,-0.007533830412053577,-0.003224053664731885,0.010757884076785462,90
high_risk_aversion_investor,0.6661120263996287,0.660701947331168,0.6596807529366182,-0.005410079068460694,-0.0010211943945498403,0.006431273463010534,80
